ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
4480862,Samsung,WW25FG5B****,,198957228759,Front Load,,"Hand Wash Cycle,Steam Cycle,Anti-Wrinkle,Gentle Cycle",Residential,2.5,33.50,23.6,44.10,2.25,1.84,90,3.7,4.7,2729,,,,,,,,,No,,,,Yes,ES_1023593_DV25FG50*0**_08032025115642_80264334,09/05/2025,07/30/2025,"United States, Canada",ES_1023593_WW25FG5B****_07302025100938_80264335,No
4480861,Samsung,WW25FG6B****,,198957228766,Front Load,,"Hand Wash Cycle,Steam Cycle,Anti-Wrinkle,Gentle Cycle",Residential,2.5,33.50,23.6,44.10,2.25,1.84,90,3.7,4.7,2729,,,,,,,,,No,,,,Yes,ES_1023593_DV25FG62*0**_08032025115642_80264334,09/05/2025,07/30/2025,"United States, Canada",ES_1023593_WW25FG6B****_07302025100938_80264335,No
2668214,Smad,DWF-12A14LBMU(W),,850022832925,Front Load,,None,Residential,2.7,,23.4,,2.76,1.84,75,3.2,4.7,2549,,,,,,,,,No,,,,,,09/15/2023,09/25/2023,United States,ES_1144306_DWF-12A14LBMU(W)_092520230749315_3705320,No
3844963,Smeg,WM24UWH,,812895026443,Front Load,,Steam Cycle,Residential,2.3,33.10,23.6,22.80,2.1,1.84,106,3.8,4.7,2578,,,,,,,,,No,,,,Yes,ES_92281_DW24UWH_031920252118746_8625850,01/01/2025,12/02/2024,"United States, Canada",ES_92281_WM24UWH_120220240142437_9675048,No
2381136,Speed Queen,LWN6ZR**116T***,,,Top Load,,Gentle Cycle,Residential,3.2,43.00,25.6,28.00,2.06,1.29,60,4.3,8.4,4072,,,,,,,,None,No,,,,No,,07/01/2021,06/25/2021,United States,ES_87091_LWN6ZR**116T***_061020211446723_2707125,No
3705406,Speed Queen,LWN6ZR**119T***,",,Base model R21",,Top Load,,Gentle Cycle,Residential,3.2,43.00,25.6,28.00,2.06,1.29,60,4.3,8.4,4072,,,,,,,,,No,,,,No,,10/01/2024,10/18/2024,United States,ES_87091_LWN6ZR**119T***_091820241901134_9652854,No
3942866,Summit,LBW241,,,Front Load,,"Delayed Start,Hand Wash Cycle,Anti-Wrinkle",Residential,1.9,,23.4,,,1.84,100,4,4.7,2254,,,,,,,,,No,,,,No,,04/02/2025,01/14/2025,"United States, Canada",ES_1147102_LBW241_01142025104445_80240418,No
3942868,Summit,LBW243,,,Front Load,,"Delayed Start,Hand Wash Cycle,Anti-Wrinkle",Residential,2.3,,23.4,,,1.84,100,4,4.7,2667,,,,,,,,,No,,,,No,,04/02/2025,01/14/2025,"United States, Canada",ES_1147102_LBW243_01142025104445_80240418,No
2393730,Summit,LW2427,,761101084794,Front Load,,None,Residential,2.7,,23.5,,2.76,1.84,101,3.2,4.7,2549,,,,,,,,,No,,,,,,02/28/2022,03/11/2022,"United States, Canada",ES_92282_LW2427_031120220124907_2274998,No
4009461,Summit,LWES247,,761101152622,Front Load,,"Hand Wash Cycle,Steam Cycle,Sanitize Option,Perm Press, Bulky, Wool, Sports Wear, Drum Clean",Residential,2.2,33.25,23.5,23.50,2.07,1.84,110,4.2,4.7,2713,,,,,,,,,No,,,,Yes,LDES248,04/11/2025,04/10/2025,"United States, Canada",ES_92282_LWES247_040820251247661_5455475,No
